Year,Ring,Trt,Soil_P,Micro_P,Wood_C,Root_C,Min_Flux,GPP,Total_P_Lost,PUE_Total,Root_Shoot
2013,1,eCO2,0.32020593750000076,NA,5244.791875,572.710729908254,0.001860600000000002,1308.461259,0.10707934134393514,12219.549005230314,0.10919608319219608
2013,2,Ambient,0.24203449999999976,NA,4975.488413,731.887497075294,0.00573339999999999,1273.23145,0.1119399908086069,11374.232218554935,0.14709862355683753
2013,3,Ambient,0.198333,NA,5059.795648,766.670318054627,3.24e-4,1380.276697,0.08865817599031392,15568.521251224454,0.15152199246577694
2013,4,eCO2,0.2196088125,NA,3385.818945,680.056320701585,-6.615e-4,1205.971289,0.08196266560717545,14713.666033995152,0.20085430784946626
2013,5,eCO2,0.228528666666666,NA,6264.085614,287.664556576154,4.3999999999999806e-4,1995.746181,0.12460303900474656,16016.833914652556,0.04592283284462689
2013,6,Ambient,0.25680091666666727,NA,5042.028246,488.66578427467,-0.0014544000000000078,1420.099844,0.10031497940936286,14156.408667591828,0.0969184939934329
2014,1,eCO2,0.26049322916666723,2.640639341,5348.426734,357.994393044752,0.00489515000000001,1888.019361,0.0826747783143601,22836.703036820392,0.06693452315032722
2014,2,Ambient,0.230171666666666,2.2765647705,5018.561541,427.611229935413,0.003335399999999995,1836.938449,0.10274588210854606,17878.462973916205,0.08520593529479904
2014,3,Ambient,0.1316835,3.5038501755,5098.144941,502.32869178030575,0.0069552,1550.742958,0.09621926536808423,16116.761566071766,0.09853166153447457
2014,4,eCO2,0.158704875,2.8274647965,3445.119754,394.34925994214274,0.0046452,1733.789933,0.08477843628511623,20450.836426955724,0.11446605288082615
2014,5,eCO2,0.1871869999999995,3.1117019505,6294.589709,427.93417007691426,0.007066399999999981,2358.797226,0.1189171197823986,19835.64040498343,0.06798444217341987
2014,6,Ambient,0.213086553571429,4.552075339,5041.679401,400.178458032025,0.005901766666666681,1689.704789,0.16660897351997153,10141.739387149239,0.07937403912526665
2015,1,eCO2,0.2137936458333339,2.450101981,5402.984323,313.1949276167035,0.008738175000000022,1408.530683,0.172040067524294,8187.224658006482,0.05796702505381368
2015,2,Ambient,0.2520170833333327,2.0978275385,5063.871859,297.77678201894946,0.005667999999999986,1431.101083,0.149715119521056,9558.828043407662,0.058804170071900995
2015,3,Ambient,0.15795,2.92896240025,5197.684316,300.004368115767,0.004176,1319.277883,0.14360701012662547,9186.723418562415,0.05771885129542504
2015,4,eCO2,0.17323031249999998,2.34486202775,3484.172074,311.3408861034655,0.0028187250000000002,1315.005633,0.11629036433604996,11307.950065406656,0.08935864230896924
2015,5,eCO2,0.1812223809523803,2.7898053220000003,6325.595537,304.82668646075,0.005042399999999989,2001.105687,0.17901975297185554,11178.127853380527,0.04818940519951711
2015,6,Ambient,0.20477750000000047,3.61613825875,5080.365158,305.521125726395,0.001999800000000003,1736.749143,0.16191758823668242,10726.130261162942,0.060137631100255454
2016,1,eCO2,NA,NA,5363.9586,247.642844637253,-0.00207840833333334,1571.518984,0.12000483150633828,13095.464276511211,0.046167926172519864
2016,2,Ambient,NA,NA,5077.786619,289.980023747463,-0.00189296666666666,2121.158649,0.1193979284733493,17765.45603530686,0.057107563886678356
2016,3,Ambient,NA,NA,5223.524265,302.810767940576,-0.001332,1592.718403,0.10825007122275383,14713.324296318944,0.057970587017188095
2016,4,eCO2,NA,NA,3475.758903,298.533420597277,-0.001323,1521.404564,0.12356746811480973,12312.339058257823,0.08589014052142874
2016,5,eCO2,NA,NA,6347.96078,542.251876863515,-0.0015722666666666601,2306.593443,0.16133378067607576,14297.027152863626,0.08542142833836396
2016,6,Ambient,NA,NA,5086.329718,351.273563406806,-0.0017473,1835.008798,0.12339979757022991,14870.436047155188,0.06906228712694043
