"Date","Ring","PercP","PercP.sd"
2015-11-01,1,0.0132,0.001113553
2015-11-01,2,0.018,0.004041452
2015-11-01,3,0.012,0.002081666
2015-11-01,4,0.010333333,0.000881917
2015-11-01,5,0.013666667,0.00120185
2015-11-01,6,0.012333333,0.002603417
