Year,Ring,GPP,Litter_P_Flux,Treatment,Soil_P,Microbial_P,Wood_C,PUE
2013,1,1308.461259,0.0851042860143223,eCO2,0.32020593750000076,NA,5244.79187536392,15374.79861801317
2013,2,1273.23145,0.09003509518102451,Ambient,0.24203449999999976,NA,4975.48841260406,14141.501682649878
2013,3,1380.276697,0.06590148782350468,Ambient,0.198333,NA,5059.79564771598,20944.545299138226
2013,4,1205.971289,0.06170273274373322,eCO2,0.2196088125,NA,3385.81894528774,19544.86025778953
2013,5,1995.746181,0.09287124465334141,eCO2,0.228528666666666,NA,6264.08561362308,21489.38768344799
2013,6,1420.099844,0.08303933459175891,Ambient,0.25680091666666727,NA,5042.02824646141,17101.532074908213
2014,1,1888.019361,0.07669010003807934,eCO2,0.26049322916666723,2.6406393412589253,5348.42673428731,24618.814684848912
2014,2,1836.938449,0.0947260654769583,Ambient,0.230171666666666,2.2765647706429952,5018.56154137975,19392.11176723926
2014,3,1550.742958,0.08813678232011747,Ambient,0.1316835,3.503850175368,5098.14494142392,17594.73079431944
2014,4,1733.789933,0.07459402606422007,eCO2,0.158704875,2.827464796450875,3445.11975363042,23243.013207348966
2014,5,2358.797226,0.10589914883880656,eCO2,0.1871869999999995,3.11170195042666,6294.58970939103,22273.996078952645
2014,6,1689.704789,0.15515826012248118,Ambient,0.213086553571429,4.552075339028345,5041.67940140411,10890.201963248073
2015,1,1408.530683,0.1581864643940659,eCO2,0.2137936458333339,2.4501019809472426,5402.98432305774,8904.242776999818
2015,2,1431.101083,0.14090501901164248,Ambient,0.2520170833333327,2.097827538544827,5063.87185856415,10156.494729841761
2015,3,1319.277883,0.13314364986466493,Ambient,0.15795,2.928962400282,5197.68431633488,9908.680469109808
2015,4,1315.005633,0.10843336547831962,eCO2,0.17323031249999998,2.3448620275723124,3484.1720742034,12127.315491862371
2015,5,2001.105687,0.16455982632241783,eCO2,0.1812223809523803,2.789805321656215,6325.59553691962,12160.35366420043
2015,6,1736.749143,0.14931213129587798,Ambient,0.20477750000000047,3.6161382585950075,5080.36515796646,11631.668022730488
2016,1,1571.518984,0.11046458366608602,NA,NA,NA,NA,14226.450975005806
2016,2,2121.158649,0.11582386552038361,NA,NA,NA,NA,18313.657893128264
2016,3,1592.718403,0.10286373226524545,NA,NA,NA,NA,15483.770303929869
2016,4,1521.404564,0.1188525653908918,NA,NA,NA,NA,12800.77177128052
2016,5,2306.593443,0.15359898933255234,NA,NA,NA,NA,15016.983204271399
2016,6,1835.008798,0.1143531016139412,NA,NA,NA,NA,16046.865123038233
