"Ring","Date","fineroot_pool","fineroot_0_10_cm","fineroot_10_30_cm","fineroot_30_60_cm"
1,2013-12-01,572.710729908254,379.980893360476,178.35713228931,14.3727042584678
1,2014-02-18,430.873390735105,266.235437748381,151.258578643213,13.3793743435106
1,2014-06-16,292.442000920655,141.793259598502,142.167408351168,8.48133297098496
1,2014-09-22,319.378827123509,187.450834051974,122.163153987666,9.76483908386883
1,2014-12-10,389.283353399739,193.179468072438,184.745693044228,11.3581922830734
1,2015-05-12,393.322151054196,204.442776573963,177.260667282231,11.6187071980021
1,2015-09-23,233.067704179211,143.763934074981,82.0704296461181,7.23334045811226
1,2016-02-26,247.642844637253,108.872458332173,131.760882189676,7.00950411540391
2,2013-12-01,731.887497075294,383.842168277363,231.739061555054,116.306267242878
2,2014-02-18,385.99563908863,171.231724037559,154.99200183202,59.7719132190501
2,2014-06-16,458.906329985103,99.384186520791,297.224355745931,62.2977877183807
2,2014-09-22,535.482725690038,167.63162811457,290.811996828369,77.0391007470998
2,2014-12-10,330.060224977881,156.934820180951,121.130517092855,51.9948877040752
2,2015-05-12,324.825733977045,190.696679538319,79.9094055198954,54.219648918831
2,2015-09-23,270.727830060854,93.1298581315696,137.943921963919,39.6540499653657
2,2016-02-26,289.980023747463,130.516868701473,114.401349413717,45.0618056322731
3,2013-12-01,766.670318054627,577.662790688911,112.747240970729,76.2602863949872
3,2014-02-18,589.352099890794,251.645967937748,282.52381676602,55.1823151870263
3,2014-06-16,391.954805630301,187.802088030362,166.403907750771,37.7488098491677
3,2014-09-22,627.362405761947,257.95807882982,311.172071064283,58.2322558678432
3,2014-12-10,400.645455838181,202.214251285111,159.319406679821,39.1117978732489
3,2015-05-12,348.922716743897,147.452760677358,168.878242318729,32.5917137478108
3,2015-09-23,251.086019487637,129.308894221584,97.1331679376972,24.6439573283564
3,2016-02-26,302.810767940576,188.783927796261,82.6207249157964,31.406115228519
4,2013-12-01,680.056320701585,441.881952102958,154.723889133246,83.4504794653806
4,2014-02-18,361.375492454194,164.251127837506,148.474522444931,48.6498421717566
4,2014-06-16,398.421851258366,199.978659043429,143.432762188548,55.0104300263885
4,2014-09-22,461.556165690164,188.421879935236,212.550804624829,60.5834811300998
4,2014-12-10,356.043530365847,161.933242906627,146.170580104663,47.9397073545575
4,2015-05-12,359.767797855946,132.206746428936,181.404147038004,46.1569043890067
4,2015-09-23,262.913974350985,119.196895219056,108.344472248649,35.3726068832802
4,2016-02-26,298.533420597277,155.800680951478,101.080787995731,41.6519516500683
5,2013-12-01,287.664556576154,179.841795451815,85.1558574555578,22.6669036687809
5,2014-02-18,425.578384943288,155.139012213969,203.749827534015,66.689545195303
5,2014-06-16,445.175194668074,122.467791772522,256.488325523055,66.2190773724967
5,2014-09-22,452.953695182002,140.751277556752,243.390403082855,68.8120145423948
5,2014-12-10,388.029405514293,112.267909689948,217.55169947121,58.2097963531358
5,2015-05-12,345.214178999687,135.70837831467,154.532141153535,54.9736595314824
5,2015-09-23,264.439193921813,77.7825353322925,146.873901735182,39.7827568543387
5,2016-02-26,542.251876863515,119.285021694051,344.966228582565,78.0006265868991
6,2013-12-01,488.66578427467,279.570803018213,146.554790997152,62.5401902593052
6,2014-02-18,509.873329268894,174.163390157558,280.396245467524,55.3136936438123
6,2014-06-16,360.694869911109,140.307174416537,180.19076782198,40.1969276725921
6,2014-09-22,360.238373292013,182.435578047126,135.017297234703,42.785498010184
6,2014-12-10,369.907259656084,134.892363817748,194.352713080102,40.6621827582331
6,2015-05-12,390.51852105233,131.67613539292,216.584093280714,42.2582923786957
6,2015-09-23,220.52373040046,78.0218654466926,118.410171794053,24.0916931597137
6,2016-02-26,351.273563406806,168.494748414329,141.64457592693,41.1342390655471
1,2017-09-01,834.187241230289,390.062137597598,199.462484452869,244.662619179822
2,2017-09-01,682.580549412325,508.061943221286,149.773647988024,24.7449582030149
3,2017-09-01,370.254854600535,304.182312400131,40.9920076809956,25.0805345194079
4,2017-09-01,416.384479169815,225.270203343227,153.25651654258,37.8577592840081
5,2017-09-01,469.947989002953,188.816224785945,260.850822703662,20.2809415133455
6,2017-09-01,590.546410588667,338.827554476479,202.277690600536,49.4411655116518
