"Ring","canopy","understorey","fineroot","sapwood","coarseroot"
1,0.482778613204608,0.2,0.5,0.7,0.7
2,0.53952167370271,0.35,0.5,0.78,0.78
3,0.607468483139228,0.37,0.5,0.67,0.67
4,0.59559999545398,0.54,0.5,0.61,0.61
5,0.576130861481166,0.51,0.5,0.71,0.71
6,0.491461967572983,0.55,0.5,0.68,0.68
