"Ring","Date","PercP"
"1",2017-01-06,0.067
"2",2017-01-06,0.054
"3",2017-01-06,0.0554
"4",2017-01-06,0.0389
"5",2017-01-06,0.0454
"6",2017-01-06,0.0417
