"Year","Ring","F1_2_Pi_Exchangeable","F1_2_Po_Exchangeable","F3_Po_Moderately_labile","F5_6_Occluded","Total_Aqua_Regia_P"
2013,1,9.45e-05,0.00036448556465,0.00068375,0.0060150275057,0.00715771875
2013,2,9.525e-05,0.00034213724595,0.0005925,0.005084646449425,0.00611496875
2013,3,0.00010275,0.0003693204615,0.00060375,0.0047768808622,0.00585303125
2013,4,0.00012225,0.00036134752755,0.000632,0.0044079691553,0.005523484375
2013,5,0.00010875,0.00045985594525,0.00100625,0.0066583332137,0.008233375
2013,6,0.0001755,0.000364601156975,0.00091625,0.00651370767975,0.007970375
