"Ring","Depth","bulk_density_kg_m3"
1,"0_10",1476.66666666667
1,"10_30",1763.33333333333
1,"transition",1824
2,"0_10",1453.33333333333
2,"10_30",1800
2,"transition",1861
3,"0_10",1440
3,"10_30",1695
3,"transition",1756
4,"0_10",1470
4,"10_30",1735
4,"transition",1779
5,"0_10",1173.33333333333
5,"10_30",1476.66666666667
5,"transition",1735
6,"0_10",1346.66666666667
6,"10_30",1715
6,"transition",1778
