"Date","Ring","leaf_p_pool","old_p_pool","new_p_pool"
"2012-11-13",1,0.173034810325007,0.114380567333998,0.0586542429910088
"2012-11-13",2,0.196832579680895,0.127222101500491,0.0696104781804045
"2012-11-13",3,0.179079006250147,0.105765536736468,0.0733134695136796
"2012-11-13",4,0.174705770909386,0.115405337273451,0.0593004336359346
"2012-11-13",5,0.188072432221026,0.110103812934957,0.0779686192860692
"2012-11-13",6,0.186911899611528,0.125857652920606,0.061054246690922
"2012-12-11",1,0.180937856331611,0.125525117341335,0.0554127389902759
"2012-12-11",2,0.209346589215643,0.136963986962716,0.0723826022529276
"2012-12-11",3,0.180677234283894,0.131377480677642,0.0492997536062521
"2012-12-11",4,0.178912514947724,0.138704457183176,0.0402080577645479
"2012-12-11",5,0.206759530565034,0.125583841646884,0.0811756889181506
"2012-12-11",6,0.200750907201639,0.128041726886532,0.0727091803151073
"2013-01-08",1,0.185718840200784,0.150422441973416,0.0352963982273683
"2013-01-08",2,0.217346128030684,0.162651181037685,0.0546949469929994
"2013-01-08",3,0.190308798934194,0.142838575109147,0.0474702238250462
"2013-01-08",4,0.18790158560868,0.155125538496104,0.0327760471125764
"2013-01-08",5,0.224308781911925,0.161389774707759,0.0629190072041661
"2013-01-08",6,0.208537099874496,0.153308499775846,0.0552286000986507
"2013-02-20",1,0.210021725936192,0.158429726968363,0.0515919989678298
"2013-02-20",2,0.231548555937407,0.174216730289489,0.0573318256479184
"2013-02-20",3,0.201652530977089,0.169702180988723,0.031950349988366
"2013-02-20",4,0.207956143733428,0.173442200305793,0.0345139434276347
"2013-02-20",5,0.252376348073266,0.196991576596101,0.0553847714771657
"2013-02-20",6,0.229502255436449,0.175880824621415,0.0536214308150336
"2013-03-14",1,0.223693651274125,0.185740946292282,0.0379527049818429
"2013-03-14",2,0.235548932216581,0.194743381278027,0.0408055509385537
"2013-03-14",3,0.214056106100217,0.185580869243482,0.028475236856735
"2013-03-14",4,0.224600700328202,0.196300389179166,0.0283003111490367
"2013-03-14",5,0.269679045508102,0.244918810238712,0.0247602352693896
"2013-03-14",6,0.239704707153161,0.217475141222523,0.022229565930638
"2013-04-09",1,0.237869877509188,0.195923353677072,0.0419465238321162
"2013-04-09",2,0.23937092568755,0.196209960292861,0.0431609653946897
"2013-04-09",3,0.219054921444152,0.204326347361888,0.0147285740822638
"2013-04-09",4,0.235359190159889,0.218290730635821,0.0170684595240677
"2013-04-09",5,0.284414696898501,0.258678934608221,0.0257357622902801
"2013-04-09",6,0.253378842652795,0.230844300312846,0.0225345423399489
"2013-05-13",1,0.275072035934445,0.243490870413197,0.0315811655212486
"2013-05-13",2,0.233470373868696,0.216753441784004,0.0167169320846919
"2013-05-13",3,0.222263170614894,0.214890362409102,0.00737280820579154
"2013-05-13",4,0.244304646561154,0.238352527615017,0.00595211894613717
"2013-05-13",5,0.291826156066108,0.282291029451202,0.00953512661490523
"2013-05-13",6,0.256838031870194,0.248052748975714,0.00878528289447917
"2013-06-14",1,0.259423075616297,0.254510505916809,0.00491256969948805
"2013-06-14",2,0.229744497893143,0.225941250323319,0.00380324756982441
"2013-06-14",3,0.215332292411842,0.216803629668784,-0.00147133725694222
"2013-06-14",4,0.237136693623644,0.242908744668786,-0.00577205104514194
"2013-06-14",5,0.283678325933875,0.288280109555534,-0.00460178362165863
"2013-06-14",6,0.24583176842859,0.24770288390848,-0.00187111547989029
"2013-07-08",1,0.239425759411073,0.247071569927394,-0.00764581051632155
"2013-07-08",2,0.221190523595303,0.22599207532053,-0.00480155172522693
"2013-07-08",3,0.206371737699466,0.211201080132623,-0.00482934243315633
"2013-07-08",4,0.22638192185843,0.235759746349834,-0.00937782449140394
"2013-07-08",5,0.272365615477134,0.280660740200568,-0.00829512472343422
"2013-07-08",6,0.231035071732696,0.236786954376376,-0.00575188264367995
"2013-08-15",1,0.217566242404705,0.220791325426166,-0.00322508302146142
"2013-08-15",2,0.213458457834392,0.207490204375664,0.00596825345872789
"2013-08-15",3,0.196662466016312,0.195369007354913,0.0012934586613986
"2013-08-15",4,0.212215850841887,0.216913579204929,-0.00469772836304203
"2013-08-15",5,0.258229729615266,0.260931257222486,-0.00270152760722089
"2013-08-15",6,0.212207472203395,0.216582225273932,-0.00437475307053776
"2013-09-10",1,0.197054539112116,0.187566488720708,0.00948805039140836
"2013-09-10",2,0.201923186353258,0.192964257623906,0.00895892872935265
"2013-09-10",3,0.186402819953275,0.179521893350984,0.00688092660229131
"2013-09-10",4,0.198132730419625,0.196378851131158,0.00175387928846682
"2013-09-10",5,0.24609372042263,0.235017714652463,0.011076005770167
"2013-09-10",6,0.19590051921099,0.188190414998339,0.00771010421265156
"2013-10-09",1,0.183146646178195,0.165501174856455,0.0176454713217399
"2013-10-09",2,0.207387806668556,0.175074750959066,0.0323130557094893
"2013-10-09",3,0.182156736602242,0.160016146567668,0.0221405900345731
"2013-10-09",4,0.194314446769159,0.174086720973074,0.020227725796085
"2013-10-09",5,0.242635346080652,0.216893156000842,0.0257421900798094
"2013-10-09",6,0.193251900383781,0.170578037993528,0.0226738623902526
"2013-11-11",1,0.179457264224306,0.158717255543506,0.0207400086807994
"2013-11-11",2,0.214736321132404,0.166851555548649,0.0478847655837557
"2013-11-11",3,0.183418521014384,0.143982762500026,0.0394357585143578
"2013-11-11",4,0.19617040858457,0.163213528279272,0.0329568803052981
"2013-11-11",5,0.246780021203812,0.200996602921859,0.045783418281953
"2013-11-11",6,0.200134624348001,0.159663230805165,0.0404713935428355
