"Date","Ring","Depth","mycorrhizal_c_pool"
2015-11-30,4,"0_10",4.365212775
2012-09-03,4,"0_10",8.8094281275
2014-11-17,4,"0_10",4.3698333525
2018-10-01,4,"0_10",2.6690486592
2012-12-11,4,"0_10",7.747798905
2015-03-10,4,"0_10",5.1507149925
2014-03-10,4,"0_10",4.812992415
2013-03-11,4,"0_10",17.73207051
2015-06-09,4,"0_10",2.8960995525
2014-06-17,4,"0_10",3.742409055
2013-06-11,4,"0_10",11.24454793
2015-09-09,4,"0_10",3.9492354825
2013-12-10,4,"0_10",7.216420365
2013-09-03,4,"0_10",5.5781689425
2013-09-03,4,"10_30",6.29610641836228
2012-09-03,4,"10_30",9.94324437775021
2012-06-13,4,"10_30",18.5041415120689
2013-12-10,4,"10_30",8.14520876761286
2012-12-11,4,"10_30",8.74497831040741
2015-03-10,4,"10_30",5.81363706580388
2014-03-10,4,"10_30",5.43244794985168
2013-03-11,4,"10_30",20.0142742358082
2015-06-09,4,"10_30",3.26884165192373
2014-06-17,4,"10_30",4.22407530395851
2013-06-11,4,"10_30",12.6917759435816
2015-09-09,4,"10_30",4.45752129870927
2014-09-09,4,"10_30",6.68341879770708
2018-10-01,4,"10_30",3.01256820425
2015-11-30,4,"10_30",4.92703689212341
2014-11-17,4,"10_30",4.93225216042277
2014-11-17,4,"transition",4.00340466949087
2014-09-09,4,"transition",5.42478955913927
2012-12-11,4,"transition",7.09811377516443
2015-03-10,4,"transition",4.71880613945932
2014-03-10,4,"transition",4.40940300330025
2013-03-11,4,"transition",16.2451627220206
2015-06-09,4,"transition",2.65324957189861
2014-06-17,4,"transition",3.4285925062475
2013-06-11,4,"transition",10.3016458656305
2015-09-09,4,"transition",3.61807567844992
2012-06-13,4,"transition",15.0194199576339
2013-09-03,4,"transition",5.11041629970566
2015-11-30,4,"transition",3.99917154661247
2012-09-03,4,"transition",8.07072097635048
2013-12-10,4,"transition",6.61129353359019
2018-10-01,4,"transition",2.445237839385
2012-06-13,5,"0_10",13.020289216
2014-09-09,5,"0_10",4.82800970666667
2015-11-30,5,"0_10",3.89516660622222
2012-09-03,5,"0_10",8.42335272533333
2014-11-17,5,"0_10",5.40602186666667
2018-10-01,5,"0_10",2.21675815210667
2012-12-11,5,"0_10",7.209664
2015-03-10,5,"0_10",5.39980859733333
2014-03-10,5,"0_10",5.28815560533333
2013-03-11,5,"0_10",10.357491584
2015-06-09,5,"0_10",2.615311424
2014-06-17,5,"0_10",3.25445988266667
2013-06-11,5,"0_10",10.7092369706667
2015-09-09,5,"0_10",3.52952676266667
2013-12-10,5,"0_10",6.993226944
2013-09-03,5,"0_10",5.181673024
2013-09-03,5,"10_30",4.2508490080341
2012-09-03,5,"10_30",6.91020070370317
2012-06-13,5,"10_30",10.681353926
2013-12-10,5,"10_30",5.73697948137063
2012-12-11,5,"10_30",5.91453627442532
2015-03-10,5,"10_30",4.42979920061208
2014-03-10,5,"10_30",4.33820329942555
2013-03-11,5,"10_30",8.49689523473257
2015-06-09,5,"10_30",2.14550279821181
2014-06-17,5,"10_30",2.66983607414908
2013-06-11,5,"10_30",8.78545387613414
2015-09-09,5,"10_30",2.89549056229902
2014-09-09,5,"10_30",3.96071696869057
2018-10-01,5,"10_30",1.81854473416
2015-11-30,5,"10_30",3.19544769179694
2014-11-17,5,"10_30",4.43489633230293
2014-11-17,5,"transition",1.69283350207721
2014-09-09,5,"transition",1.51183564946228
2012-12-11,5,"transition",2.25762326881696
2015-03-10,5,"transition",1.69088788832567
2014-03-10,5,"transition",1.65592503946444
2013-03-11,5,"transition",3.24332923234901
2015-06-09,5,"transition",0.818954659471679
2014-06-17,5,"transition",1.0190966400847
2013-06-11,5,"transition",3.35347425015257
2015-09-09,5,"transition",1.10523066640948
2012-06-13,5,"transition",4.077153651095
2013-09-03,5,"transition",1.62258124517086
2015-11-30,5,"transition",1.21972657340565
2012-09-03,5,"transition",2.6376759186233
2013-12-10,5,"transition",2.18984849680819
2018-10-01,5,"transition",0.69415229136
2012-06-13,6,"0_10",20.993158656
2014-09-09,6,"0_10",9.189455104
2015-11-30,6,"0_10",7.66927313066667
2012-09-03,6,"0_10",12.2086300586667
2014-11-17,6,"0_10",7.642878464
2018-10-01,6,"0_10",3.23239801002667
2012-12-11,6,"0_10",14.3160448853333
2015-03-10,6,"0_10",8.26601668266667
2014-03-10,6,"0_10",10.0429185706667
2013-03-11,6,"0_10",18.1184799573333
2015-06-09,6,"0_10",4.920034816
2014-06-17,6,"0_10",5.195659776
2013-06-11,6,"0_10",14.441907584
2015-09-09,6,"0_10",7.607468672
2013-12-10,6,"0_10",12.0362050133333
2013-09-03,6,"0_10",10.2084314453333
2013-09-03,6,"10_30",8.73106130487872
2012-09-03,6,"10_30",10.4417900107006
2012-06-13,6,"10_30",17.9550165165062
2013-12-10,6,"10_30",10.2943184182857
2012-12-11,6,"10_30",12.2442185370585
2015-03-10,6,"10_30",7.06975393722266
2014-03-10,6,"10_30",8.58950154976845
2013-03-11,6,"10_30",15.4963629922803
2015-06-09,6,"10_30",4.20800451378562
2014-06-17,6,"10_30",4.44374086915046
2013-06-11,6,"10_30",12.3518663127173
2015-09-09,6,"10_30",6.50651137795905
2014-09-09,6,"10_30",7.8595518127452
2018-10-01,6,"10_30",2.76460348864
2015-11-30,6,"10_30",6.55937145939499
2014-11-17,6,"10_30",6.536796644251
