"Date","Ring","leaf_pool"
"2012-10-26",1,106.720383145982
"2012-10-26",2,114.334266094587
"2012-10-26",3,94.7154367583051
"2012-10-26",4,101.182145126304
"2012-10-26",5,104.360684468378
"2012-10-26",6,104.234205758703
"2012-11-03",1,110.845941667525
"2012-11-03",2,118.018055370517
"2012-11-03",3,100.339689684396
"2012-11-03",4,100.041590593789
"2012-11-03",5,112.097844387868
"2012-11-03",6,110.352096687727
"2012-11-07",1,111.548374893015
"2012-11-07",2,120.353401887618
"2012-11-07",3,105.56161155169
"2012-11-07",4,109.409095852641
"2012-11-07",5,116.135376887849
"2012-11-07",6,112.661217080158
"2012-11-10",1,114.239386686443
"2012-11-10",2,119.268784885952
"2012-11-10",3,112.34256627182
"2012-11-10",4,112.699876143176
"2012-11-10",5,122.737522306272
"2012-11-10",6,116.930107547346
"2012-11-14",1,114.170132706465
"2012-11-14",2,121.056937240051
"2012-11-14",3,115.334903521618
"2012-11-14",4,115.046426861711
"2012-11-14",5,122.720193840606
"2012-11-14",6,117.483955611951
"2012-11-16",1,116.000416463024
"2012-11-16",2,123.704966136011
"2012-11-16",3,117.128629492085
"2012-11-16",4,118.813996342068
"2012-11-16",5,124.227770353475
"2012-11-16",6,120.474735160819
"2012-11-22",1,115.762974245957
"2012-11-22",2,122.229496160771
"2012-11-22",3,118.972646844901
"2012-11-22",4,119.440366454187
"2012-11-22",5,126.775054806252
"2012-11-22",6,122.059592699536
"2012-11-28",1,120.719580527234
"2012-11-28",2,127.320356141566
"2012-11-28",3,124.420879932768
"2012-11-28",4,124.853326079811
"2012-11-28",5,133.593806045489
"2012-11-28",6,127.487303732667
"2012-12-07",1,124.845139048777
"2012-12-07",2,131.375455742391
"2012-12-07",3,127.815548241362
"2012-12-07",4,129.621217978029
"2012-12-07",5,141.556236018627
"2012-12-07",6,136.570411992192
"2012-12-09",1,125.003433860155
"2012-12-09",2,133.583775043081
"2012-12-09",3,128.142442226634
"2012-12-09",4,130.051263129633
"2012-12-09",5,133.827740331969
"2012-12-09",6,138.087103615265
"2012-12-10",1,125.033114137288
"2012-12-10",2,129.860900469794
"2012-12-10",3,128.544773285431
"2012-12-10",4,131.621862813752
"2012-12-10",5,140.403893051894
"2012-12-10",6,136.638577907836
"2012-12-11",1,125.478318294289
"2012-12-11",2,129.997699010544
"2012-12-11",3,127.220433550226
"2012-12-11",4,129.789496515613
"2012-12-11",5,140.265265326573
"2012-12-11",6,137.320237064273
"2012-12-14",1,126.457767439691
"2012-12-14",2,131.785851364643
"2012-12-14",3,128.050241358994
"2012-12-14",4,132.145396041791
"2012-12-14",5,141.582228717124
"2012-12-14",6,145.772810604095
"2012-12-15",1,124.775885068799
"2012-12-15",2,129.362562928487
"2012-12-15",3,126.734283520847
"2012-12-15",4,131.191817662148
"2012-12-15",5,141.175009773993
"2012-12-15",6,140.20024700022
"2012-12-17",1,125.507998571422
"2012-12-17",2,130.114954902616
"2012-12-17",3,129.232088844208
"2012-12-17",4,131.397491430306
"2012-12-17",5,141.40027982764
"2012-12-17",6,139.518587843783
"2012-12-19",1,126.10160411409
"2012-12-19",2,129.899985767151
"2012-12-19",3,126.868393873779
"2012-12-19",4,131.883629427772
"2012-12-19",5,141.894141099097
"2012-12-19",6,139.944624816557
"2012-12-21",1,124.301000634664
"2012-12-21",2,129.225764387737
"2012-12-21",3,127.002504226711
"2012-12-21",4,129.67731082389
"2012-12-21",5,141.019053583007
"2012-12-21",6,139.365214533585
"2012-12-22",1,126.754570211025
"2012-12-22",2,128.190004007767
"2012-12-22",3,126.373861947342
"2012-12-22",4,131.82753658191
"2012-12-22",5,141.729520675278
"2012-12-22",6,137.396923719373
"2012-12-23",1,129.94025329001
"2012-12-23",2,134.570678801354
"2012-12-23",3,134.336664152686
"2012-12-23",4,134.968735950148
"2012-12-23",5,143.869586184925
"2012-12-23",6,141.631731228739
"2012-12-26",1,127.714232505005
"2012-12-26",2,132.557785987451
"2012-12-26",3,130.61510185882
"2012-12-26",4,131.004841509277
"2012-12-26",5,145.047921850155
"2012-12-26",6,138.155269530909
"2013-01-03",1,136.727143327846
"2013-01-03",2,142.553850786593
"2013-01-03",3,138.242628181834
"2013-01-03",4,144.850425629396
"2013-01-03",5,162.107796297497
"2013-01-03",6,149.402645612123
"2013-01-13",1,125.48821172
"2013-01-13",2,130.466722578833
"2013-01-13",3,132.081933844015
"2013-01-13",4,130.481308281237
"2013-01-13",5,142.916520573341
"2013-01-13",6,135.735379525557
"2013-01-19",1,123.341338340684
"2013-01-19",2,128.854454062842
"2013-01-19",3,125.5189084474
"2013-01-19",4,126.180856765197
"2013-01-19",5,150.610359328669
"2013-01-19",6,139.782730766903
"2013-01-20",1,122.935707886528
"2013-01-20",2,129.987927686205
"2013-01-20",3,129.592510417713
"2013-01-20",4,128.807871713039
"2013-01-20",5,149.380038266443
"2013-01-20",6,137.158343014619
"2013-01-21",1,122.302528641016
"2013-01-21",2,127.291042168548
"2013-01-21",3,129.097978491276
"2013-01-21",4,128.44326821494
"2013-01-21",5,150.107833824379
"2013-01-21",6,136.638577907836
"2013-01-23",1,121.125210981391
"2013-01-23",2,127.027216411386
"2013-01-23",3,127.036031814944
"2013-01-23",4,127.65796837288
"2013-01-23",5,148.279680696706
"2013-01-23",6,135.138927763674
"2013-01-27",1,124.973753583021
"2013-01-27",2,131.746766067286
"2013-01-27",3,137.437966064241
"2013-01-27",4,129.696008439177
"2013-01-27",5,151.242848325447
"2013-01-27",6,137.499172592838
"2013-01-28",1,125.735547362778
