"Date","Ring","wood_p_pool"
"2012-12-20",1,0.308760283786328
"2013-12-20",1,0.308734879423362
"2014-12-23",1,0.315517572109318
"2015-12-14",1,0.319080471304138
"2016-12-21",1,0.316538281827168
"2012-12-20",2,0.292652924630151
"2013-12-20",2,0.295434736145267
"2014-12-23",2,0.298394883077513
"2015-12-14",2,0.301448986252253
"2016-12-21",2,0.302375424840706
"2012-12-20",3,0.281677747017319
"2013-12-20",3,0.293549883162866
"2014-12-23",3,0.296089368944191
"2015-12-14",3,0.302571490702734
"2016-12-21",3,0.304250030544923
"2012-12-20",4,0.181518307139085
"2013-12-20",4,0.185554363387806
"2014-12-23",4,0.189293248115157
"2015-12-14",4,0.191746130612278
"2016-12-21",4,0.191249880510752
"2012-12-20",5,0.359889071512334
"2013-12-20",5,0.368386420092732
"2014-12-23",5,0.370369352795451
"2015-12-14",5,0.372350935888435
"2016-12-21",5,0.373812256107294
"2012-12-20",6,0.306441727606943
"2013-12-20",6,0.309980778020578
"2014-12-23",6,0.309952020093364
"2015-12-14",6,0.312556096860427
"2016-12-21",6,0.312993761047275
