"Date","Ring","coarse_root_pool","total_root_pool"
2012-12-20,1,606.151822664787,1018.69718301903
2012-12-20,2,511.026460573747,956.63163324204
2012-12-20,3,539.582112057414,989.477605829469
2012-12-20,4,372.59470609159,772.045043029832
2012-12-20,5,756.039238291031,1158.40084669901
2012-12-20,6,516.195486211887,920.889024195335
2013-12-20,1,605.309285958446,1017.85464631269
2013-12-20,2,515.245770314113,960.850942982405
2013-12-20,3,563.66741070336,1013.56290447541
2013-12-20,4,382.13279290228,781.583129840522
2013-12-20,5,772.721003939892,1175.08261234787
2013-12-20,6,522.585102655038,927.278640638486
2014-12-23,1,618.192122944551,1030.7374832988
2014-12-23,2,519.721306722404,965.326479390696
2014-12-23,3,568.314552647543,1018.2100464196
2014-12-23,4,390.891090802466,790.341427740708
2014-12-23,5,776.47576551067,1178.83737391864
2014-12-23,6,522.590923455401,927.284461438849
2015-12-14,1,624.990367662876,1037.53572801712
2015-12-14,2,524.77520831986,970.380380988152
2015-12-14,3,580.950846430749,1030.8463402028
2015-12-14,4,396.686919552587,796.137256490829
2015-12-14,5,780.457562397841,1182.81917080582
2015-12-14,6,527.057918286323,931.751456269771
2016-12-21,1,620.108015208177,1032.65337556242
2016-12-21,2,526.413549794195,972.018722462487
2016-12-21,3,584.219490996663,1034.11498476872
2016-12-21,4,395.284678038858,794.735014977101
2016-12-21,5,783.156185644228,1185.5177940522
2016-12-21,6,527.539154476333,932.232692459781
