"Date","Ring","leaf_p_pool"
"2012-10-26",1,0.148521270253591
"2012-10-26",2,0.166914257173942
"2012-10-26",3,0.129130556393378
"2012-10-26",4,0.140267807209605
"2012-10-26",5,0.148618840167477
"2012-10-26",6,0.139524138024825
"2012-11-03",1,0.154262752565241
"2012-11-03",2,0.172292145812056
"2012-11-03",3,0.136798397396915
"2012-11-03",4,0.138686667739996
"2012-11-03",5,0.159637239857768
"2012-11-03",6,0.147713325558694
"2012-11-07",1,0.155240319097919
"2012-11-07",2,0.175701470439401
"2012-11-07",3,0.143917719222851
"2012-11-07",4,0.151672747646124
"2012-11-07",5,0.165387043055614
"2012-11-07",6,0.150804230602815
"2012-11-10",1,0.158985362716068
"2012-11-10",2,0.174118060256827
"2012-11-10",3,0.153162552861987
"2012-11-10",4,0.156234723820732
"2012-11-10",5,0.174789081761103
"2012-11-10",6,0.156518412990654
"2012-11-14",1,0.158888982917072
"2012-11-14",2,0.176728547314586
"2012-11-14",3,0.157242164245389
"2012-11-14",4,0.159487723877058
"2012-11-14",5,0.174764404494158
"2012-11-14",6,0.157259773979096
"2012-11-16",1,0.161436163319121
"2012-11-16",2,0.180594350553124
"2012-11-16",3,0.159687645578856
"2012-11-16",4,0.164710668190601
"2012-11-16",5,0.176911326718248
"2012-11-16",6,0.161263123316684
"2012-11-22",1,0.161105718293991
"2012-11-22",2,0.178440342106558
"2012-11-22",3,0.162201691809523
"2012-11-22",4,0.165578998882927
"2012-11-22",5,0.180538884958948
"2012-11-22",6,0.163384556298996
"2012-11-28",1,0.168003758193596
"2012-11-28",2,0.18587238449504
"2012-11-28",3,0.169629555672859
"2012-11-28",4,0.173082931283773
"2012-11-28",5,0.190249389501231
"2012-11-28",6,0.17064989398573
"2012-12-07",1,0.173745240505246
"2012-12-07",2,0.191792341483946
"2012-12-07",3,0.17425768623386
"2012-12-07",4,0.179692612673119
"2012-12-07",5,0.201588593661789
"2012-12-07",6,0.182808214196181
"2012-12-09",1,0.173965537188666
"2012-12-09",2,0.195016221675494
"2012-12-09",3,0.17470335806566
"2012-12-09",4,0.180288780014119
"2012-12-09",5,0.190582532604969
"2012-12-09",6,0.184838402749146
"2012-12-10",1,0.174006842816807
"2012-12-10",2,0.189581273210981
"2012-12-10",3,0.175251877243262
"2012-12-10",4,0.182466086824728
"2012-12-10",5,0.199947555410043
"2012-12-10",6,0.182899458625528
"2012-12-11",1,0.174626427238927
"2012-12-11",2,0.189780982603377
"2012-12-11",3,0.173446334950327
"2012-12-11",4,0.179925895545684
"2012-12-11",5,0.199750137274495
"2012-12-11",6,0.183811902918995
"2012-12-14",1,0.175989512967592
"2012-12-14",2,0.192391469661136
"2012-12-14",3,0.174577655754128
"2012-12-14",4,0.183191855761596
"2012-12-14",5,0.201625609562203
"2012-12-14",6,0.195126212157991
"2012-12-15",1,0.173648860706249
"2012-12-15",2,0.188853760424392
"2012-12-15",3,0.17278354094406
"2012-12-15",4,0.181869919483728
"2012-12-15",5,0.20104569378903
"2012-12-15",6,0.187666980058895
"2012-12-17",1,0.174667732867068
"2012-12-17",2,0.189952162082574
"2012-12-17",3,0.176188930838328
"2012-12-17",4,0.18215504299464
"2012-12-17",5,0.201366498259296
"2012-12-17",6,0.186754535765428
"2012-12-19",1,0.175493845429895
"2012-12-19",2,0.18963833303738
"2012-12-19",3,0.172966380669927
"2012-12-19",4,0.182828971293163
"2012-12-19",5,0.202069800367187
"2012-12-19",6,0.187324813448846
"2012-12-21",1,0.172987970655986
"2012-12-21",2,0.188654051031996
"2012-12-21",3,0.173149220395793
"2012-12-21",4,0.179770373630641
"2012-12-21",5,0.200823598386539
"2012-12-21",6,0.186549235799398
"2012-12-22",1,0.176402569249005
"2012-12-22",2,0.18714196563242
"2012-12-22",3,0.172292159180793
"2012-12-22",4,0.18275121033564
"2012-12-22",5,0.201835366331224
"2012-12-22",6,0.183914552902012
"2012-12-23",1,0.180836040002844
"2012-12-23",2,0.196456982292071
"2012-12-23",3,0.18314826790413
"2012-12-23",4,0.187105823956857
"2012-12-23",5,0.204883008798752
"2012-12-23",6,0.189583113075177
"2012-12-26",1,0.177738117892243
"2012-12-26",2,0.193518401232518
"2012-12-26",3,0.178074465511328
"2012-12-26",4,0.181610716291989
"2012-12-26",5,0.206561062950912
"2012-12-26",6,0.184929647178493
"2013-01-03",1,0.1902812603045
"2013-01-03",2,0.208111451834086
"2013-01-03",3,0.188473474919999
"2013-01-03",4,0.200804712640267
"2013-01-03",5,0.230855832256828
"2013-01-03",6,0.199984978020705
"2013-01-13",1,0.174640195781641
"2013-01-13",2,0.190465700520167
"2013-01-13",3,0.180074275012996
"2013-01-13",4,0.180884947355119
"2013-01-13",5,0.203525759116856
"2013-01-13",6,0.181690469936684
"2013-01-19",1,0.171652422012749
"2013-01-19",2,0.188111982681204
"2013-01-19",3,0.171126555928393
"2013-01-19",4,0.17492327394512
"2013-01-19",5,0.214482465639789
"2013-01-19",6,0.187108107929147
"2013-01-20",1,0.171087911761484
"2013-01-20",2,0.189766717646778
"2013-01-20",3,0.176680312601595
"2013-01-20",4,0.178565078789055
"2013-01-20",5,0.212730379686798
"2013-01-20",6,0.183595197399297
"2013-01-21",1,0.170206725027803
"2013-01-21",2,0.185829589625241
"2013-01-21",3,0.176006091112462
"2013-01-21",4,0.178059632565163
"2013-01-21",5,0.213766824898426
"2013-01-21",6,0.182899458625528
"2013-01-23",1,0.168568268444862
"2013-01-23",2,0.185444435797047
"2013-01-23",3,0.17319493032726
"2013-01-23",4,0.176970979159859
