"Ring","Date","PercP"
"1",2013-05-09,0.071
"1",2015-10-01,0.108
"1",2017-01-06,0.0721
"2",2013-05-10,0.09
"2",2015-10-01,0.0925
"2",2017-01-06,0.0684
"3",2013-05-13,0.105
"3",2015-10-01,0.0975
"3",2017-01-06,0.0628
"4",2013-05-12,0.116
"4",2015-10-01,0.09
"4",2017-01-06,0.0457
"5",2013-05-20,0.102
"5",2015-10-01,0.08475
"5",2017-01-06,0.0901
"6",2013-05-09,0.074
"6",2015-10-01,0.1105
"6",2017-01-06,0.0915
