"Ring","Date","sla_variable"
1,2013-02-14,50.5386116598012
1,2013-05-02,49.2948647472667
1,2013-05-08,42.4899761183438
1,2013-09-19,49.4448585888261
1,2013-11-13,48.5673579506376
1,2013-11-14,43.2710777185432
1,2014-01-30,78.257768906334
1,2014-02-04,59.8914447188433
1,2014-04-29,54.5558732847282
1,2014-05-02,78.5798631738243
1,2014-10-09,53.0984987755311
1,2014-10-13,63.6237037698899
1,2015-02-02,53.0951710479781
1,2015-02-10,53.0464860294448
1,2015-04-15,43.3278373876119
1,2016-02-02,57.2428885152622
1,2016-02-04,74.5191962772326
1,2016-02-09,68.4328583694017
1,2016-05-13,46.0734446703287
1,2016-05-16,41.8010692632046
1,2016-10-12,42.8201931757879
1,2016-10-14,48.3498419420459
2,2013-02-14,51.170136476496
2,2013-05-02,56.0603226330761
2,2013-09-19,50.1752891966287
2,2013-11-13,47.6674472646138
2,2013-11-15,49.2269136715042
2,2014-01-30,71.8328377059002
2,2014-04-29,60.8130826638047
2,2014-05-02,63.2281627535644
2,2014-10-09,58.1371198632053
2,2015-02-02,55.6602864873489
2,2015-02-06,53.7758085994104
2,2015-04-15,48.7782921999651
2,2016-02-02,61.8039007596348
2,2016-02-09,64.7830652777043
2,2016-05-13,47.3767651872683
2,2016-05-16,51.7625515273943
2,2016-10-12,43.9577131848259
3,2013-02-15,59.6523670625906
3,2013-05-07,55.0435319987258
3,2013-09-12,56.8125824425749
3,2013-11-14,57.3677603455183
3,2014-02-03,67.5996639741749
3,2014-04-30,60.0926227721258
3,2014-05-02,59.0885821261422
3,2014-10-10,53.0984203490892
3,2015-01-29,53.0146082964909
3,2015-02-03,58.8803232337584
3,2015-04-14,50.3694671733593
3,2016-02-01,73.3075063566955
3,2016-02-03,69.245790580009
3,2016-05-11,57.956160509166
3,2016-05-16,51.0478814196513
3,2016-10-10,48.3657868632394
3,2016-10-12,50.2746522876031
3,2016-10-18,50.2004638262157
4,2013-02-13,53.4827562041199
4,2013-05-07,46.7737254346521
4,2013-09-13,45.5751046491383
4,2013-11-14,45.0502596316539
4,2014-02-03,67.7924696601436
4,2014-05-01,58.9627117062575
4,2014-05-02,75.8945060469093
4,2014-10-10,53.7603492626053
4,2014-10-13,58.8918016958435
4,2015-01-30,50.9348271569792
4,2015-02-10,61.3152980759972
4,2015-02-11,41.0875531953732
4,2015-04-14,44.3487221976365
4,2016-02-08,48.7411225297221
4,2016-02-09,54.8900563189436
4,2016-05-12,42.6649229159974
4,2016-05-16,48.5864427182927
4,2016-10-14,42.9584996721643
5,2013-02-15,57.7085138017168
5,2013-05-06,52.3842176687426
5,2013-09-12,51.2576160968807
5,2013-11-15,50.1235522772896
5,2014-01-31,65.2410632599933
5,2014-04-30,52.594064276457
5,2014-05-02,70.0189219241477
5,2014-10-08,56.1891132097203
5,2014-10-16,60.9026242454059
5,2015-01-29,53.7339219455707
5,2015-02-06,61.0176178329468
5,2015-02-11,44.448311779118
5,2015-04-16,50.9502284134172
5,2016-02-01,80.9664833850261
5,2016-02-03,51.4011829862828
5,2016-05-11,51.7294004122733
5,2016-05-13,53.4287062638756
5,2016-05-16,40.8058290097775
5,2016-10-10,43.6339151021696
5,2016-10-12,45.1586495062394
5,2016-10-14,51.9963952959499
6,2013-02-13,58.680353109414
6,2013-05-06,52.4965499148543
6,2013-09-13,56.0967894551061
6,2013-11-15,50.2814334164778
6,2014-01-31,71.7087852605508
6,2014-05-01,58.1853409864339
6,2014-05-02,67.8536530205913
6,2014-10-08,46.5672435720718
6,2014-10-13,48.5532863344812
6,2015-01-30,59.7581077869704
6,2015-04-16,54.496879850319
6,2016-02-01,77.6013653283638
6,2016-02-08,57.6547564969769
6,2016-05-12,44.4246401991592
6,2016-05-13,43.5743086679604
6,2016-05-16,49.1369452792057
6,2016-10-14,43.1805578055567
6,2016-10-18,45.4618029799007
