"Date","Ring","wood_pool","sap_pool","heart_pool"
2012-12-20,1,5246.86206908219,1387.35852175309,3859.5035473291
2012-12-20,2,4935.11685413703,1276.95529626014,3658.16155787689
2012-12-20,3,4875.95212247542,1354.98028475893,3520.97183771649
2012-12-20,4,3321.70119205783,1052.72235281927,2268.97883923856
2012-12-20,5,6132.0651338772,1633.45173997303,4498.61339390417
2012-12-20,6,4988.86464127813,1158.34304619134,3830.52159508679
2013-12-20,1,5244.79187536392,1385.60588257189,3859.18599279203
2013-12-20,2,4975.48841260406,1282.55421078822,3692.93420181584
2013-12-20,3,5059.79564771598,1390.42210818016,3669.37353953582
2013-12-20,4,3385.81894528774,1066.38940294017,2319.42954234757
2013-12-20,5,6264.08561362308,1659.25536246393,4604.83025115915
2013-12-20,6,5042.02824646141,1167.26852120418,3874.75972525723
2014-12-23,1,5348.42673428731,1404.45708292084,3943.96965136648
2014-12-23,2,5018.56154137975,1288.62550291084,3729.93603846891
2014-12-23,3,5098.14494142392,1397.02782962152,3701.11711180239
2014-12-23,4,3445.11975363042,1078.95415219095,2366.16560143946
2014-12-23,5,6294.58970939103,1664.9727994479,4629.61690994314
2014-12-23,6,5041.67940140411,1167.27915023706,3874.40025116705
2015-12-14,1,5402.98432305774,1414.47843175601,3988.50589130173
2015-12-14,2,5063.87185856415,1295.75953041098,3768.11232815316
2015-12-14,3,5197.68431633488,1415.5406825507,3782.14363378418
2015-12-14,4,3484.1720742034,1087.34544154994,2396.82663265347
2015-12-14,5,6325.59553691962,1671.20883831418,4654.38669860544
2015-12-14,6,5080.36515796646,1173.41394721112,3906.95121075534
2016-12-21,1,5363.95859967153,1407.23007683193,3956.7285228396
2016-12-21,2,5077.78661875127,1298.09380824245,3779.69281050883
2016-12-21,3,5223.52426467028,1420.39888285874,3803.12538181154
2016-12-21,4,3475.75890284801,1085.13539646361,2390.6235063844
2016-12-21,5,6347.96077987056,1675.30757852939,4672.65320134117
2016-12-21,6,5086.32971816174,1173.9077050708,3912.42201309094
